ID,Req ID,Caso de Prueba,Módulo,Precondiciones,Pasos,Datos de Prueba,Resultado Esperado,Tipo,Resultado Actual,Estado,Tester,Fecha
TT-015,RF-02,Listar administradores como superadmin,Administradores,Usuario superadmin autenticado,1. Abrir `/administradores`<br>2. Esperar carga de tabla,rol=superadmin,El sistema muestra administradores existentes y controles de gestión,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-016,RF-02,Crear administrador nuevo con datos válidos,Administradores,Superadmin autenticado; correo no registrado,1. Abrir formulario de nuevo admin<br>2. Completar datos<br>3. Guardar,"nombre=Admin Sede, correo=admin.sede@test.com, sede=Cochabamba","El sistema crea el admin, genera credenciales y muestra/manda notificación",Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-017,RF-02,Crear administrador con correo duplicado,Administradores,Superadmin autenticado; correo ya existe,1. Abrir formulario<br>2. Usar correo registrado<br>3. Guardar,correo=admin@test.com,El sistema rechaza el registro y muestra mensaje de duplicado,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-018,RF-03,Listar tótems filtrados por sede,Dashboard/Tótems,Admin de sede autenticado; existen tótems en varias sedes,1. Ingresar al dashboard<br>2. Revisar tabla de tótems,"rol=admin, sede=Cochabamba",Solo se muestran los tótems pertenecientes a la sede del administrador,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-019,RF-03,Listar todos los tótems como superadmin,Dashboard/Tótems,Superadmin autenticado,1. Ingresar al dashboard<br>2. Revisar tabla y estadísticas,rol=superadmin,Se muestran tótems de todas las sedes,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-020,RF-03,Crear tótem con datos válidos,Dashboard/Tótems,Admin autenticado con permisos de sede,"1. Abrir formulario Nuevo Tótem<br>2. Completar nombre, ID, sede, plantilla, estado y credenciales<br>3. Guardar","totem_id=TOTEM-CBBA-001, campus_id=Cochabamba",El sistema crea el tótem y lo muestra en el dashboard,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-021,RF-03,Crear tótem con campos obligatorios vacíos,Dashboard/Tótems,Admin autenticado,1. Abrir formulario Nuevo Tótem<br>2. Dejar nombre o totem_id vacío<br>3. Guardar,"nombre='', totem_id=''",El sistema impide guardar y muestra validaciones de campos obligatorios,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-022,RF-03,Crear tótem con `totem_id` duplicado,Dashboard/Tótems,Existe un tótem con el mismo ID,1. Abrir formulario<br>2. Ingresar `totem_id` existente<br>3. Guardar,totem_id=TOTEM-CBBA-001,El sistema rechaza la creación con mensaje de ID duplicado,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-023,RF-03,Crear tótem para sede no autorizada,Dashboard/Tótems,Admin de una sede autenticado,1. Enviar creación con campus_id de otra sede<br>2. Guardar,"admin=Cochabamba, campus_id=Santa Cruz",El sistema bloquea la operación con 403,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-024,RF-03,Editar datos básicos de tótem propio,Dashboard/Tótems,Admin autenticado; tótem de su sede existente,1. Abrir editar tótem<br>2. Modificar nombre/estado/plantilla<br>3. Guardar,nombre=Totem Principal Actualizado,El sistema actualiza los datos y refleja cambios en tabla,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-025,RF-03,Evitar reasignación de tótem a sede no autorizada,Dashboard/Tótems,Admin de sede autenticado; tótem propio existente,1. Editar tótem<br>2. Cambiar campus_id a otra sede<br>3. Guardar,campus_id=Santa Cruz,El sistema rechaza el cambio si el admin no tiene permiso sobre la sede destino,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-026,RF-03,Eliminar tótem propio,Dashboard/Tótems,Admin autenticado; tótem de su sede existente,1. Seleccionar eliminar<br>2. Confirmar acción,tótem existente,El sistema elimina el tótem y sus contenidos asociados de la vista,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-027,RF-03,Intentar eliminar tótem de otra sede,Dashboard/Tótems,Admin de sede autenticado; existe tótem de otra sede,1. Intentar llamar API DELETE para tótem ajeno<br>2. Confirmar respuesta,id de tótem ajeno,El sistema responde 403 y no elimina el registro,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-028,RF-03,Inactivar tótem desde panel,Dashboard/Tótems,Admin autenticado; tótem activo,1. Editar tótem<br>2. Cambiar estado a Inactivo<br>3. Guardar,estado=Inactivo,El sistema guarda estado inactivo y el cliente tótem no puede operar como activo,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-029,RF-08,Crear preset de nombre de tótem,Presets,Admin autenticado,1. Abrir gestión de presets<br>2. Crear nuevo prefijo/nombre<br>3. Guardar,"sede=Cochabamba, preset=TOTEM-CBBA",El sistema guarda el preset y lo ofrece al crear tótems,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-030,RF-08,Editar preset existente,Presets,Admin autenticado; preset existente,1. Abrir preset<br>2. Modificar nombre o descripción<br>3. Guardar,preset actualizado,El sistema actualiza el preset sin duplicados inconsistentes,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-031,RF-04,Abrir editor de plantillas,Plantillas,Admin autenticado,1. Navegar a `/editor-plantillas`<br>2. Esperar carga,URL=/editor-plantillas,El sistema muestra plantillas disponibles y preview,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-032,RF-04,Aplicar plantilla a un tótem,Plantillas,Admin autenticado; tótem existente,1. Seleccionar tótem<br>2. Elegir plantilla<br>3. Aplicar cambios,plantilla=eventos,El tótem queda asociado a la plantilla seleccionada,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-033,RF-04,Previsualizar plantilla antes de aplicar,Plantillas,Admin autenticado; editor abierto,1. Seleccionar plantilla<br>2. Abrir preview<br>3. Revisar distribución,plantilla=corporativa,El sistema muestra una previsualización acorde a la plantilla,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-034,RF-04,Configurar bloques informativos,Plantillas/Contenido,Admin autenticado; formulario de tótem abierto,1. Agregar bloques de información<br>2. Guardar<br>3. Ver preview,"titulo=Atención, contenido=Horario de atención",El sistema guarda y renderiza los bloques en la plantilla correspondiente,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-035,RF-04,Firmar subida de archivo a Cloudinary,Contenido,Admin autenticado,1. Seleccionar imagen o video<br>2. Solicitar firma de upload,archivo=image.jpg,El sistema devuelve firma válida solo para usuarios autenticados,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-036,RF-04,Intentar firmar subida sin autenticación,Contenido,Navegador/API sin sesión,1. Llamar `/api/uploads/sign` sin token<br>2. Revisar respuesta,sin Authorization,El sistema responde 401/403 y no entrega firma,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-037,RF-04,Subir imágenes en slots de carrusel,Contenido,Admin autenticado; tótem existente,1. Abrir edición de contenido<br>2. Subir imágenes en slots<br>3. Guardar,"imagen1.jpg, imagen2.jpg",El sistema guarda los archivos y los asocia a slots de imagen,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-038,RF-04,Subir videos en slots principales,Contenido,Admin autenticado; tótem existente,1. Abrir edición de contenido<br>2. Subir video principal<br>3. Guardar,video1.mp4,El sistema guarda el video y lo incluye en payload de display,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-039,RF-04,Reemplazar contenido respetando fechas de visualización,Contenido,Tótem con contenido existente,1. Editar contenido<br>2. Ingresar mostrarDesde y mostrarHasta válidos<br>3. Guardar,"desde=2026-06-17, hasta=2026-07-17",El sistema guarda rango válido y muestra contenido dentro del periodo,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-040,RF-04,Validar rango de fechas inválido,Contenido,Admin autenticado; formulario abierto,1. Ingresar fecha final menor a fecha inicial<br>2. Guardar,"desde=2026-07-17, hasta=2026-06-17",El sistema rechaza el guardado y muestra error de fechas,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-041,RF-04,Mantener contenido existente al editar metadatos,Contenido,Tótem con archivos existentes,1. Editar solo nombre/estado<br>2. Activar mantener contenido<br>3. Guardar,keepContent=true,El sistema actualiza metadatos sin eliminar imágenes/videos existentes,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-042,RF-05,Subir PDF de FAQ autenticado,FAQ/PDF,Admin autenticado; PDF válido con formato esperado,1. Seleccionar PDF FAQ<br>2. Subir archivo<br>3. Asociarlo al tótem,faq-totem.pdf,"El sistema procesa el PDF, extrae preguntas/respuestas y lo asocia al tótem",Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-043,RF-05,Subir FAQ con archivo vacío o inexistente,FAQ/PDF,Admin autenticado,1. Intentar enviar formulario sin PDF<br>2. Guardar,pdf=null,El sistema rechaza la solicitud indicando que debe subir un PDF,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-044,RF-05,Subir PDF sin estructura de preguntas,FAQ/PDF,Admin autenticado; PDF no cumple formato,1. Subir PDF genérico<br>2. Procesar,pdf=archivo_sin_preguntas.pdf,El sistema informa que no pudo extraer preguntas/respuestas útiles,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-045,RF-05,Reemplazar FAQ existente de un tótem,FAQ/PDF,Tótem con FAQ existente,1. Subir nuevo PDF<br>2. Guardar cambios<br>3. Consultar display,nuevo_faq.pdf,El sistema reemplaza FAQ anterior y muestra las nuevas respuestas,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-046,RF-05,Consultar FAQ asociada al tótem en display,FAQ/PDF,Tótem activo con FAQ procesada,1. Iniciar sesión del tótem<br>2. Llamar `/api/totems/display/me`<br>3. Revisar campo FAQ,token de tótem válido,La respuesta incluye título e items de FAQ del tótem,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-047,RF-05,Buscar pregunta existente en FAQ,FAQ/Buscador,Cliente tótem con FAQ cargada,1. Formular pregunta relacionada<br>2. Ejecutar búsqueda,pregunta=¿Dónde pago matrícula?,El sistema devuelve la respuesta más relevante de la FAQ,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-048,RF-05,Buscar pregunta inexistente en FAQ,FAQ/Buscador,Cliente tótem con FAQ cargada,1. Formular pregunta sin relación<br>2. Ejecutar búsqueda,pregunta=ConsultaInexistenteXYZ,El sistema devuelve mensaje amigable indicando que no encontró respuesta,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-049,RF-06,Login del dispositivo con credenciales vacías,Cliente TOTEM,Pantalla de login del tótem cargada,1. Dejar usuario y contraseña vacíos<br>2. Pulsar ingresar,"usuario='', contraseña=''",El sistema muestra validación y no solicita display,Validación,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-050,RF-06,Login del dispositivo con credenciales incorrectas,Cliente TOTEM,Existe un tótem activo,1. Ingresar usuario válido<br>2. Ingresar contraseña incorrecta<br>3. Pulsar ingresar,"usuario=totem001, contraseña=badpass",El sistema rechaza login y muestra error de credenciales,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-051,RF-06,Login exitoso del dispositivo tótem,Cliente TOTEM,Tótem activo con credenciales válidas,1. Ingresar usuario<br>2. Ingresar contraseña<br>3. Pulsar ingresar,"usuario=totem001, contraseña=válida",El sistema obtiene token de dispositivo y carga la pantalla principal,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-052,RF-06,Login de tótem inactivo,Cliente TOTEM,Tótem registrado con estado Inactivo,1. Ingresar credenciales del tótem inactivo<br>2. Pulsar ingresar,estado=Inactivo,El sistema bloquea acceso e informa que el tótem está inactivo,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-053,RF-06,Consultar display sin token,API Display,No existe sesión de tótem,1. Llamar `/api/totems/display/me` sin Authorization,sin token,El sistema responde 401 y no entrega contenido,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-054,RF-06,Consultar display con token válido,API Display,Tótem activo autenticado,1. Obtener token<br>2. Llamar `/api/totems/display/me`,Bearer token válido,"El sistema devuelve datos del tótem, media, ads y FAQ",Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-055,RF-06,Evitar acceso a display de otro tótem,API Display,Token de tótem A; existe tótem B,1. Llamar `/api/totems/display/{totemB}` con token de tótem A,"token=A, totemRef=B",El sistema responde 403 y no entrega datos de otro tótem,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-056,RF-06,Mostrar pantalla de login si no hay sesión local,Cliente TOTEM,LocalStorage limpio,1. Abrir cliente Vite<br>2. Esperar carga inicial,sin `totem_device_token`,El cliente muestra formulario de login de tótem,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-057,RF-06,Persistir sesión de dispositivo,Cliente TOTEM,Login exitoso del tótem,1. Iniciar sesión<br>2. Recargar navegador,token válido,El cliente conserva sesión y vuelve a cargar display sin pedir login,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-058,RF-06,Limpiar sesión ante token inválido,Cliente TOTEM,LocalStorage contiene token inválido,1. Abrir cliente tótem<br>2. Intentar cargar display,token alterado,El cliente limpia sesión y vuelve al login,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-059,RF-06,Configuración de URL de API del cliente,Cliente TOTEM,App desplegada con variable `VITE_API_URL`,1. Ejecutar app en ambiente de pruebas<br>2. Iniciar login<br>3. Revisar llamadas de red,VITE_API_URL=https://api.totem.test,El cliente consume la API configurada y no apunta a localhost,Configuración,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-060,RF-06,Renderizar carrusel de imágenes,Cliente TOTEM,Display devuelve imágenes,1. Iniciar cliente<br>2. Esperar carga de plantilla<br>3. Observar carrusel,3 imágenes,El carrusel muestra imágenes en orden y rota automáticamente,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-061,RF-06,Renderizar videos principales,Cliente TOTEM,Display devuelve videos,1. Iniciar cliente<br>2. Seleccionar plantilla con video<br>3. Reproducir/esperar video,video1.mp4,El video se carga sin romper la plantilla,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-062,RF-06,Mostrar publicidad asociada al tótem,Publicidad,Tótem activo con anuncios configurados,1. Iniciar cliente<br>2. Observar componente de anuncios,ads activos,"La publicidad se muestra con imagen/video, título y duración configurada",Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-063,RF-06,Manejo de publicidad vacía,Publicidad,Tótem sin anuncios activos,1. Iniciar cliente<br>2. Revisar área de anuncios,ads=[],El sistema no rompe la pantalla y muestra estado vacío o fallback controlado,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-064,RF-06,Respetar plantilla asignada desde panel,Cliente TOTEM,Tótem con plantilla específica,1. Cambiar plantilla en panel<br>2. Iniciar cliente<br>3. Observar diseño,plantilla=minimal/corporativa/directorio,El cliente renderiza la plantilla asignada y sus secciones correspondientes,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-065,RF-07,Activar FAQ mediante gesto Open_Palm,Gestos,Cámara disponible; modelo MediaPipe cargado,1. Abrir pantalla principal<br>2. Mostrar gesto Open_Palm frente a cámara,gesto=Open_Palm,El sistema abre vista FAQ o activa interacción correspondiente,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-066,RF-07,Manejo de cámara no disponible,Gestos,Cámara bloqueada o inexistente,1. Bloquear permisos de cámara<br>2. Abrir cliente tótem,sin permiso de cámara,El sistema muestra error controlado sin romper pantalla principal,Compatibilidad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-067,RF-07,Reconocimiento de voz soportado,Voz,Navegador compatible con Web Speech API; micrófono permitido,1. Abrir cliente<br>2. Hablar pregunta frecuente<br>3. Esperar respuesta,pregunta=Horario de atención,"El sistema transcribe, busca respuesta y la reproduce por voz/texto",Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-068,RF-07,Navegador sin soporte de voz,Voz,Navegador sin SpeechRecognition,1. Abrir cliente<br>2. Inicializar asistente de voz,SpeechRecognition no disponible,El sistema informa estado no soportado y mantiene el resto de la UI funcional,Compatibilidad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-069,RF-07,Error o permiso denegado de micrófono,Voz,Usuario bloquea micrófono,1. Abrir cliente<br>2. Denegar permiso de micrófono<br>3. Observar asistente,permiso denegado,El sistema muestra estado de error sin reinicios infinitos visibles,Compatibilidad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-070,RF-07,Cierre automático de panel FAQ por inactividad,FAQ/Cliente,FAQ abierto por voz o gesto,1. Abrir FAQ<br>2. No interactuar por 30 segundos,timeout=30s,El sistema cierra la FAQ y vuelve a pantalla principal,Funcional,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-071,SEG-01,Bloquear descarga pública de archivos privados,Seguridad/API,Existe archivo GridFS asociado a contenido o PDF,1. Llamar `/api/contents/file/{id}` sin sesión<br>2. Revisar respuesta,ObjectId válido,El sistema debe responder 401/403 o usar URL firmada; no debe exponer archivos privados,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-072,SEG-01,Bloquear subida pública de FAQ PDF,Seguridad/API,Navegador/API sin sesión,1. Enviar PDF a `/api/faqs/upload-pdf` sin Authorization<br>2. Revisar respuesta,pdf válido,El sistema debe rechazar la creación con 401/403,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-073,SEG-01,Bloquear lectura pública de FAQ por totemId,Seguridad/API,Existe FAQ de tótem,1. Llamar `/api/faqs/totem/{totemId}` sin token<br>2. Revisar respuesta,totemId válido,El sistema debe exigir sesión admin/tótem o una política pública documentada,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-074,SEG-01,Bloquear lectura pública de ads por totemId,Seguridad/API,Existen anuncios de tótem,1. Llamar `/api/ads/totem/{totemId}` sin token<br>2. Revisar respuesta,totemId válido,El sistema debe exigir token o tener acceso público explícitamente definido,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-075,SEG-01,Evitar que token de dispositivo acceda al panel admin,Seguridad/Auth,"Token válido de tótem, no admin",1. Guardar token de dispositivo como token admin<br>2. Acceder a `/dashboard` o `/api/auth/verify`,JWT type=totem_device,El sistema debe rechazar tokens que no tengan rol admin/superadmin,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-076,SEG-01,No exponer contraseña de tótem en listado admin,Seguridad/Datos,Admin autenticado; existen tótems,1. Llamar `GET /api/totems`<br>2. Inspeccionar respuesta,token admin válido,La respuesta no debe incluir contraseña en texto plano,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-077,SEG-01,Hashear contraseña de tótem al crear/editar,Seguridad/Datos,Admin autenticado; formulario de tótem,1. Crear tótem con contraseña<br>2. Revisar valor persistido en DB/API interna,contraseña=Totem123!,"La contraseña debe almacenarse con hash seguro, no en texto plano",Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-078,SEG-01,Validar límite de tamaño de uploads,Seguridad/API,Admin autenticado; archivo demasiado grande,1. Intentar subir PDF/video superior al límite definido<br>2. Guardar,archivo > límite permitido,El sistema rechaza archivo grande con mensaje claro sin consumir memoria excesiva,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-079,SEG-01,Restringir CORS en endpoints sensibles,Seguridad/API,Ambiente de pruebas con origen no permitido,1. Ejecutar petición desde origen externo<br>2. Revisar headers CORS,Origin=https://malicioso.test,El sistema no debe permitir origen `*` en endpoints sensibles,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-080,RNF-01,Tiempo de carga del dashboard,Rendimiento,Admin autenticado; base con varios tótems,1. Abrir `/dashboard`<br>2. Medir tiempo hasta tabla visible,50 tótems,El dashboard carga información principal dentro del umbral definido por el equipo,Rendimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-081,RNF-01,Tiempo de carga del display del tótem,Rendimiento,Tótem activo con media/FAQ/ads,1. Iniciar cliente tótem<br>2. Medir tiempo hasta pantalla principal,payload completo,El cliente renderiza contenido principal sin demoras perceptibles,Rendimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-082,RNF-01,Tolerancia ante API no disponible en cliente tótem,Estabilidad,API apagada o URL incorrecta,1. Abrir cliente con API no disponible<br>2. Intentar cargar display,API down,"El cliente muestra mensaje controlado o login, sin pantalla en blanco",Mantenimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-083,RNF-01,Tolerancia ante caída de MongoDB,Estabilidad,Simulación de MongoDB no disponible,1. Llamar endpoints principales<br>2. Revisar mensajes,Mongo down,El sistema responde errores controlados sin exponer stack trace al usuario,Mantenimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-084,RNF-02,Build del panel Next.js,Calidad Técnica,Dependencias instaladas,1. Ejecutar `npm run build` en `frontend`,comando build,El build termina correctamente sin ocultar errores críticos,Mantenimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-085,RNF-02,Typecheck del panel,Calidad Técnica,Dependencias instaladas,1. Ejecutar `npx tsc --noEmit` en `frontend`,comando typecheck,TypeScript no reporta errores,Mantenimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-086,RNF-02,Lint del panel administrativo,Calidad Técnica,ESLint configurado en `frontend`,1. Ejecutar `npm run lint` en `frontend`,comando lint,ESLint ejecuta y no reporta errores bloqueantes,Mantenimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-087,RNF-02,Build del cliente TOTEM,Calidad Técnica,Dependencias instaladas,1. Ejecutar `npm run build` en `Gestos_Voz/frontend-totem`,comando build,Vite genera `dist` correctamente,Mantenimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-088,RNF-02,Lint del cliente TOTEM,Calidad Técnica,Dependencias instaladas,1. Ejecutar `npm run lint` en `Gestos_Voz/frontend-totem`,comando lint,ESLint no reporta errores ni warnings críticos,Mantenimiento,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
TT-089,RNF-02,Auditoría de dependencias productivas,Calidad Técnica,Dependencias instaladas,1. Ejecutar `npm audit --omit=dev` en panel y cliente<br>2. Revisar vulnerabilidades,npm audit,No existen vulnerabilidades high/critical en dependencias productivas,Seguridad,Pendiente de ejecución,Not Run,QA TOTEM,17/06/2026
